pipeline_start: 12h20m02s538525us
pipeline_end: 12h20m02s569533us
pipeline_start1: 12h20m04s631001us
pipeline_end1: 12h20m04s660008us
pipeline_start12: 12h20m10s479447us
pipeline_end12: 12h20m10s505453us
pipeline_start123: 12h20m12s568916us
pipeline_end123: 12h20m12s594922us
pipeline_start1234: 12h20m14s650388us
pipeline_end1234: 12h20m14s676395us
pipeline_start12345: 12h20m27s302567us
pipeline_end12345: 12h20m27s328573us
pipeline_start123456: 12h20m29s376037us
pipeline_end123456: 12h20m29s402043us
pipeline_start1234567: 12h21m00s895350us
pipeline_end1234567: 12h21m00s921356us
prepause: 12h21m00s921356us
coord_transf_start: 12h21m00s925357us
x_center_px_1: 371
y_center_px_1: 405
x_center_um_1: -2.8999999999999986
y_center_um_1: 0.5
x_roi_size_um_1: 2.0
y_roi_size_um_1: 2.0
mfx_initiate_1: 12h21m02s075254us
mfx_end_1: 12h22m04s733117us
x_center_px_2: 299
y_center_px_2: 395
x_center_um_2: -10.100000000000001
y_center_um_2: -0.5
x_roi_size_um_2: 2.0
y_roi_size_um_2: 2.0
mfx_initiate_2: 12h22m07s267038us
mfx_end_2: 12h23m09s921613us
x_center_px_3: 204
y_center_px_3: 363
x_center_um_3: -19.6
y_center_um_3: -3.700000000000003
x_roi_size_um_3: 2.0
y_roi_size_um_3: 2.0
mfx_initiate_3: 12h23m12s451862us
mfx_end_3: 12h24m15s109073us
x_center_px_4: 353
y_center_px_4: 247
x_center_um_4: -4.700000000000003
y_center_um_4: -15.3
x_roi_size_um_4: 2.0
y_roi_size_um_4: 2.0
mfx_initiate_4: 12h24m17s640965us
mfx_end_4: 12h25m20s291992us
x_center_px_5: 249
y_center_px_5: 514
x_center_um_5: -15.100000000000001
y_center_um_5: 11.399999999999999
x_roi_size_um_5: 2.0
y_roi_size_um_5: 2.0
mfx_initiate_5: 12h25m22s825857us
mfx_end_5: 12h26m25s482340us
x_center_px_6: 106
y_center_px_6: 250
x_center_um_6: -29.4
y_center_um_6: -15.0
x_roi_size_um_6: 2.0
y_roi_size_um_6: 2.0
mfx_initiate_6: 12h26m27s977861us
mfx_end_6: 12h27m30s636534us
x_center_px_7: 208
y_center_px_7: 311
x_center_um_7: -19.2
y_center_um_7: -8.899999999999999
x_roi_size_um_7: 2.0
y_roi_size_um_7: 2.0
mfx_initiate_7: 12h27m33s165865us
mfx_end_7: 12h28m35s807866us
x_center_px_8: 29
y_center_px_8: 305
x_center_um_8: -37.1
y_center_um_8: -9.5
x_roi_size_um_8: 2.0
y_roi_size_um_8: 2.0
mfx_initiate_8: 12h28m38s333883us
mfx_end_8: 12h29m40s985857us
x_center_px_9: 260
y_center_px_9: 240
x_center_um_9: -14.0
y_center_um_9: -16.0
x_roi_size_um_9: 2.0
y_roi_size_um_9: 2.0
mfx_initiate_9: 12h29m43s488858us
mfx_end_9: 12h30m46s137034us
x_center_px_10: 188
y_center_px_10: 480
x_center_um_10: -21.2
y_center_um_10: 8.0
x_roi_size_um_10: 2.0
y_roi_size_um_10: 2.0
mfx_initiate_10: 12h30m48s643864us
mfx_end_10: 12h31m51s289944us
pipeline: peak_detection
min_dist: 30.0
thresh_abs: 10.0
num_peaks: 10.0
smoothing_radius: 1.0
border_limit: 15.0
init_smooth: 1.0
roi_border: 5.0
roi_th_factor: 6.0
